ID	probeset_id	ORF	synonym	pid	description	"	probe.id"
eco_gcs1_t12230	eco3548	uhpA	b3669	16131539	"DNA-binding	response	regulator	in	two-component	regulatory	system	wtih	UhpB	"	"eco_gcs1_t12230;eco_gcs1_t12231;eco_gcs1_t12232										"
eco_gcs1_t04159	eco1513	ydfT	b1559	90111296	"Qin	prophage;	predicted	antitermination	protein	Q	"	"eco_gcs1_t04159;eco_gcs1_t04161;eco_gcs1_t04160;eco_gcs1_t04162													"
eco_gcs1_t01511	eco0595	citT	b0612	16128595	"citrate:succinate	antiporter	"	"eco_gcs1_t01511;eco_gcs1_t01509;eco_gcs1_t01510;eco_gcs1_t01512;eco_gcs1_t01514;eco_gcs1_t01513																	"
eco_gcs1_t02189	eco0850	trxB	b0888	16128855	"thioredoxin	reductase,	FAD/NAD(P)-binding	"	"eco_gcs1_t02189;eco_gcs1_t02191;eco_gcs1_t02190																"
eco_gcs1_t05880	eco2106	rtn	b2176	16130114	"hypothetical	protein	"	"eco_gcs1_t05880;eco_gcs1_t05877;eco_gcs1_t05878;eco_gcs1_t05876;eco_gcs1_t05879																	"
eco_gcs1_t10151	eco3729	glnL	b3869	16131709	"sensory	histidine	kinase	in	two-component	regulatory	system	with	GlnG	"	"eco_gcs1_t10151;eco_gcs1_t10153;eco_gcs1_t10152;eco_gcs1_t10154										"
eco_gcs1_t00524	eco0207	yafT	b0217	16128203	"predicted	aminopeptidase	"	"eco_gcs1_t00524;eco_gcs1_t00527;eco_gcs1_t00526;eco_gcs1_t00525;eco_gcs1_t00528																	"
eco_gcs1_t07529	eco2725	recC	b2822	16130726	"exonuclease	V	(RecBCD	complex),	gamma	chain	"	"eco_gcs1_t07529;eco_gcs1_t07527;eco_gcs1_t07526;eco_gcs1_t07531;eco_gcs1_t07528;eco_gcs1_t07530													"
eco_gcs1_t02428	eco0918	ycbG	b0956	16128923	"hypothetical	protein	"	"eco_gcs1_t02428;eco_gcs1_t02427;eco_gcs1_t02426;eco_gcs1_t02425																	"
eco_gcs1_t05064	eco1829	yecT	b1877	90111353	"hypothetical	protein	"	"eco_gcs1_t05064;eco_gcs1_t05065;eco_gcs1_t05068;eco_gcs1_t05066;eco_gcs1_t05067																	"
eco_gcs1_t00051	eco0023	rpsT	b0023	16128017	"30S	ribosomal	protein	S20	"	"eco_gcs1_t00051															"
eco_gcs1_t00577	eco0230	phoE	b0241	16128227	"outer	membrane	phosphoporin	protein	E	"	"eco_gcs1_t00577;eco_gcs1_t00580;eco_gcs1_t00578;eco_gcs1_t00581;eco_gcs1_t00579														"
eco_gcs1_t05370	eco1934	yeeR	b2001	90111368	"CP4-44	prophage;	predicted	membrane	protein	"	"eco_gcs1_t05370;eco_gcs1_t05371;eco_gcs1_t05368;eco_gcs1_t05372;eco_gcs1_t05367;eco_gcs1_t05369														"
eco_gcs1_t12029	eco3344	yhhN	b3468	16131340	"conserved	inner	membrane	protein	"	"eco_gcs1_t12029;eco_gcs1_t12028															"
eco_gcs1_t11942	eco2696	yqcA	b2790	16130697	"flavodoxin	"	"eco_gcs1_t11942;eco_gcs1_t11941;eco_gcs1_t11943																		"
eco_gcs1_t01903	eco0732	ybhH	b0769	16128737	"hypothetical	protein	"	"eco_gcs1_t01903;eco_gcs1_t01902;eco_gcs1_t01900;eco_gcs1_t01901																	"
eco_gcs1_t05265	eco1911	yedW	b1969	90111362	"predicted	DNA-binding	response	regulator	in	two-component	system	with	YedV	"	"eco_gcs1_t05265;eco_gcs1_t05267;eco_gcs1_t05268;eco_gcs1_t05264;eco_gcs1_t05266;eco_gcs1_t05263										"
eco_gcs1_t07179	eco2588	nrdF	b2676	16130590	"ribonucleotide-diphosphate	reductase	beta	subunit	"	"eco_gcs1_t07179;eco_gcs1_t07178;eco_gcs1_t07180;eco_gcs1_t07175;eco_gcs1_t07176;eco_gcs1_t07177															"
eco_gcs1_t11022	eco4082	nrdD	b4238	16132060	"anaerobic	ribonucleoside	triphosphate	reductase	"	"eco_gcs1_t11022;eco_gcs1_t11021;eco_gcs1_t11023;eco_gcs1_t11020															"
eco_gcs1_t11069	eco4100	valS	b4258	16132080	"valyl-tRNA	synthetase	"	"eco_gcs1_t11069;eco_gcs1_t11067;eco_gcs1_t11070;eco_gcs1_t11068;eco_gcs1_t11072;eco_gcs1_t11071																	"
eco_gcs1_t02999	eco1133	minC	b1176	16129139	"septum	formation	inhibitor	"	"eco_gcs1_t02999;eco_gcs1_t02998;eco_gcs1_t03000																"
eco_gcs1_t07262	eco2638	fhlA	b2731	16130638	"DNA-binding	transcriptional	activator	"	"eco_gcs1_t07262																"
eco_gcs1_t05396	eco1945	sbcB	b2011	16129952	"exonuclease	I	"	"eco_gcs1_t05396;eco_gcs1_t05398;eco_gcs1_t05397;eco_gcs1_t05394;eco_gcs1_t05395;eco_gcs1_t05393																	"
eco_gcs1_t08592	eco3133	rng	b3247	90111563	"ribonuclease	G	"	"eco_gcs1_t08592;eco_gcs1_t08593;eco_gcs1_t08591																	"
eco_gcs1_t07752	eco2791	lysS	b2890	16130792	"lysine	tRNA	synthetase,	constitutive	"	"eco_gcs1_t07752;eco_gcs1_t07754;eco_gcs1_t07753;eco_gcs1_t07755															"
eco_gcs1_t00015	eco0006	yaaA	b0006	16128000	"hypothetical	protein	"	"eco_gcs1_t00015;eco_gcs1_t00014;eco_gcs1_t00016																	"
eco_gcs1_t11668	eco0974	ycdL	b1011	90111203	"predicted	enzyme	"	"eco_gcs1_t11668;eco_gcs1_t11669;eco_gcs1_t11670																	"
eco_gcs1_t07741	eco2788	ygfT	b2887	90111509	"fused	predicted	oxidoreductase:	Fe-S	subunit/nucleotide-binding	subunit	"	"eco_gcs1_t07741;eco_gcs1_t07742;eco_gcs1_t07740;eco_gcs1_t07744;eco_gcs1_t07738;eco_gcs1_t07743;eco_gcs1_t07739													"
eco_gcs1_t04347	eco1577	ydgJ	b1624	90111307	"predicted	oxidoreductase	"	"eco_gcs1_t04347;eco_gcs1_t04348;eco_gcs1_t04346;eco_gcs1_t04349																	"
eco_gcs1_t01417	eco0558	ybdG	b0577	16128560	"predicted	mechanosensitive	channel	"	"eco_gcs1_t01417;eco_gcs1_t01415;eco_gcs1_t01412;eco_gcs1_t01413;eco_gcs1_t01416;eco_gcs1_t01414																"
eco_gcs1_t01188	eco0484	ybbB	b0503	16128487	"tRNA	2-selenouridine	synthase,	selenophosphate-dependent	"	"eco_gcs1_t01188;eco_gcs1_t01187															"
eco_gcs1_t02742	eco1039	flgK	b1082	16129045	"flagellar	hook-associated	protein	K	"	"eco_gcs1_t02742;eco_gcs1_t02743;eco_gcs1_t02741;eco_gcs1_t02744;eco_gcs1_t02740;eco_gcs1_t02745															"
eco_gcs1_t00686	eco0288	eaeH	b0297	16128282	"attaching	and	effacing	protein,	pathogenesis	factor	"	"eco_gcs1_t00686;eco_gcs1_t00689;eco_gcs1_t00688;eco_gcs1_t00685;eco_gcs1_t00687													"
eco_gcs1_t01756	eco0678	phr	b0708	16128683	"deoxyribodipyrimidine	photolyase,	FAD-binding	"	"eco_gcs1_t01756;eco_gcs1_t01757;eco_gcs1_t01758;eco_gcs1_t01759;eco_gcs1_t01755																"
eco_gcs1_t08099	eco2938	ygiL	b3043	16130939	"predicted	fimbrial-like	adhesin	protein	"	"eco_gcs1_t08099;eco_gcs1_t08097;eco_gcs1_t08098;eco_gcs1_t08096															"
eco_gcs1_t08400	eco3062	yhbX	b3173	90111552	"predicted	hydrolase,	inner	membrane	"	"eco_gcs1_t08400;eco_gcs1_t08403;eco_gcs1_t08404;eco_gcs1_t08398;eco_gcs1_t08402;eco_gcs1_t08399;eco_gcs1_t08401															"
eco_gcs1_t00277	eco0122	hpt	b0125	90111088	"hypoxanthine-guanine	phosphoribosyltransferase	"	"eco_gcs1_t00277;eco_gcs1_t00278																	"
eco_gcs1_t10044	eco3686	yigG	b3818	90111651	"predicted	inner	membrane	protein	"	"eco_gcs1_t10044;eco_gcs1_t10042;eco_gcs1_t10043															"
eco_gcs1_t02536	eco0959	torC	b0996	16128962	"trimethylamine	N-oxide	(TMAO)	reductase	I,	cytochrome	c-type	subunit	"	"eco_gcs1_t02536;eco_gcs1_t02539;eco_gcs1_t02537;eco_gcs1_t02538;eco_gcs1_t02535											"
eco_gcs1_t06841	eco2461	hcaF	b2539	16130464	"3-phenylpropionate	dioxygenase,	small	(beta)	subunit	"	"eco_gcs1_t06841;eco_gcs1_t06842														"
eco_gcs1_t05019	eco1812	ruvB	b1860	16129813	"Holliday	junction	DNA	helicase	B	"	"eco_gcs1_t05019;eco_gcs1_t05018;eco_gcs1_t05020;eco_gcs1_t05017														"
eco_gcs1_t12520	eco2515	pheL	b2598	16130519	"pheA	gene	leader	peptide	"	"eco_gcs1_t12520															"
eco_gcs1_t04369	eco1588	tppB	b1634	16129592	"putative	tripeptide	transporter	permease	"	"eco_gcs1_t04369;eco_gcs1_t04370;eco_gcs1_t04371															"
eco_gcs1_t05111	eco1847	yecG	b1895	16129847	"universal	stress	protein	"	"eco_gcs1_t05111;eco_gcs1_t05110																"
eco_gcs1_t07408	eco2686	pyrG	b2780	16130687	"CTP	synthetase	"	"eco_gcs1_t07408;eco_gcs1_t07407																	"
eco_gcs1_t06485	eco2320	insL-3	b2394	90111427	"IS186/IS421	transposase	"	"eco_gcs1_t06485;eco_gcs1_t06484;eco_gcs1_t06481;eco_gcs1_t06480;eco_gcs1_t06483;eco_gcs1_t06482																	"
eco_gcs1_t09595	eco3511	rfaQ	b3632	16131503	"lipopolysaccharide	core	biosynthesis	protein	"	"eco_gcs1_t09595;eco_gcs1_t09596;eco_gcs1_t09597;eco_gcs1_t09593;eco_gcs1_t09594;eco_gcs1_t09592															"
eco_gcs1_t09896	eco3628	rbsD	b3748	90111647	"predicted	cytoplasmic	sugar-binding	protein	"	"eco_gcs1_t09896;eco_gcs1_t09895															"
eco_gcs1_t04187	eco1530	ydfE	b1577	16129535	"Qin	prophage;	predicted	protein	"	"eco_gcs1_t04187;eco_gcs1_t04188;eco_gcs1_t04186;eco_gcs1_t04189;eco_gcs1_t04190															"
eco_gcs1_t10255	eco3763	rhaA	b3903	49176441	"L-rhamnose	isomerase	"	"eco_gcs1_t10255																	"
eco_gcs1_t03847	eco1418	yddE	b1464	16129423	"hypothetical	protein	"	"eco_gcs1_t03847;eco_gcs1_t03848																	"
eco_gcs1_t09757	eco3576	yidA	b3697	16131565	"predicted	hydrolase	"	"eco_gcs1_t09757;eco_gcs1_t09756																	"
eco_gcs1_t07293	eco2648	rpoS	b2741	16130648	"RNA	polymerase	sigma	factor	"	"eco_gcs1_t07293;eco_gcs1_t07292;eco_gcs1_t07291															"
eco_gcs1_t07989	eco2890	hybE	b2992	16130892	"hydrogenase	2-specific	chaperone	"	"eco_gcs1_t07989																"
eco_gcs1_t06507	eco2327	xapA	b2407	16130333	"purine	nucleoside	phosphorylase	"	"eco_gcs1_t06507;eco_gcs1_t06510;eco_gcs1_t06508;eco_gcs1_t06509																"
eco_gcs1_t06037	eco2160	nrdA	b2234	16130169	"ribonucleotide-diphosphate	reductase	alpha	subunit	"	"eco_gcs1_t06037;eco_gcs1_t06033;eco_gcs1_t06036;eco_gcs1_t06034;eco_gcs1_t06038;eco_gcs1_t06032;eco_gcs1_t06035															"
eco_gcs1_t05224	eco1894	fliP	b1948	16129895	"flagellar	biosynthesis	protein	P	"	"eco_gcs1_t05224;eco_gcs1_t05225															"
eco_gcs1_t08686	eco3166	rsmB	b3289	16131168	"16S	rRNA	m5C967	methyltransferase,	S-adenosyl-L-methionine-dependent	"	"eco_gcs1_t08686;eco_gcs1_t08690;eco_gcs1_t08688;eco_gcs1_t08689;eco_gcs1_t08687														"
eco_gcs1_t06161	eco2205	nuoL	b2278	16130213	"NADH	dehydrogenase	subunit	L	"	"eco_gcs1_t06161;eco_gcs1_t06160															"
eco_gcs1_t11127	eco4119	yjhC	b4280	90111719	"KpLE2	phage-like	element;	predicted	oxidoreductase	"	"eco_gcs1_t11127;eco_gcs1_t11128;eco_gcs1_t11129;eco_gcs1_t11130;eco_gcs1_t11126;eco_gcs1_t11125														"
eco_gcs1_t03438	eco1290	uspE	b1333	16129294	"stress-induced	protein	"	"eco_gcs1_t03438;eco_gcs1_t03439;eco_gcs1_t03437;eco_gcs1_t03436																	"
eco_gcs1_t12384	eco4382	rrlB	b3970	49175990	"23S	ribosomal	RNA	"	"eco_gcs1_t12384;eco_gcs1_t12385;eco_gcs1_t12379;eco_gcs1_t12381;eco_gcs1_t12382;eco_gcs1_t12386;eco_gcs1_t12380;eco_gcs1_t12383																"
eco_gcs1_t00899	eco0374	aroM	b0390	16128375	"hypothetical	protein	"	"eco_gcs1_t00899;eco_gcs1_t00900;eco_gcs1_t00898;eco_gcs1_t00902;eco_gcs1_t00903;eco_gcs1_t00901																	"
eco_gcs1_t10486	eco3859	metA	b4013	16131839	"homoserine	O-succinyltransferase	"	"eco_gcs1_t10486;eco_gcs1_t10487;eco_gcs1_t10488;eco_gcs1_t10489																	"
eco_gcs1_t05772	eco2069	dusC	b2140	16130078	"tRNA-dihydrouridine	synthase	C	"	"eco_gcs1_t05772;eco_gcs1_t05773																"
eco_gcs1_t01422	eco0561	ybdJ	b0580	16128563	"predicted	inner	membrane	protein	"	"eco_gcs1_t01422															"
eco_gcs1_t03292	eco1235	ribA	b1277	16129238	"GTP	cyclohydrolase	II	protein	"	"eco_gcs1_t03292;eco_gcs1_t03291;eco_gcs1_t03290															"
eco_gcs1_t00878	eco0361	sbmA	b0377	16128362	"predicted	transporter	"	"eco_gcs1_t00878;eco_gcs1_t00880;eco_gcs1_t00879;eco_gcs1_t00877																	"
eco_gcs1_t11015	eco4078	yjgA	b4234	16132056	"hypothetical	protein	"	"eco_gcs1_t11015																	"
eco_gcs1_t01548	eco0610	ybeF	b0629	90111155	"predicted	DNA-binding	transcriptional	regulator	"	"eco_gcs1_t01548;eco_gcs1_t01544;eco_gcs1_t01546;eco_gcs1_t01547;eco_gcs1_t01545															"
eco_gcs1_t02946	eco1115	pin	b1158	16129121	"e14	prophage;	site-specific	DNA	recombinase	"	"eco_gcs1_t02946;eco_gcs1_t02944;eco_gcs1_t02945														"
eco_gcs1_t07830	eco2826	pgk	b2926	16130827	"phosphoglycerate	kinase	"	"eco_gcs1_t07830;eco_gcs1_t07829;eco_gcs1_t07828;eco_gcs1_t07831																	"
eco_gcs1_t06700	eco2408	hyfF	b2486	16130411	"NADH	dehydrogenase	subunit	N	"	"eco_gcs1_t06700;eco_gcs1_t06701;eco_gcs1_t06698;eco_gcs1_t06699															"
eco_gcs1_t04318	eco1569	uidB	b1616	16129574	"glucuronide	transporter	"	"eco_gcs1_t04318;eco_gcs1_t04319;eco_gcs1_t04317																	"
eco_gcs1_t09878	eco3625	yieM	b3745	49176398	"predicted	von	Willibrand	factor	containing	protein	"	"eco_gcs1_t09878;eco_gcs1_t09881;eco_gcs1_t09879;eco_gcs1_t09877;eco_gcs1_t09882;eco_gcs1_t09880													"
eco_gcs1_t08835	eco3229	kefB	b3350	16131229	"glutathione-regulated	potassium-efflux	system	protein	"	"eco_gcs1_t08835															"
eco_gcs1_t08008	eco2903	exbB	b3006	16130904	"membrane	spanning	protein	in	TonB-ExbB-ExbD	complex	"	"eco_gcs1_t08008;eco_gcs1_t08009													"
eco_gcs1_t08721	eco3184	rpsH	b3306	16131185	"30S	ribosomal	protein	S8	"	"eco_gcs1_t08721;eco_gcs1_t08722															"
eco_gcs1_t04754	eco1724	ydjI	b1773	16129727	"predicted	aldolase	"	"eco_gcs1_t04754;eco_gcs1_t04753;eco_gcs1_t04755;eco_gcs1_t04756;eco_gcs1_t04751;eco_gcs1_t04752																	"
eco_gcs1_t05552	eco1994	wzc	b2060	90111377	"protein-tyrosine	kinase	"	"eco_gcs1_t05552;eco_gcs1_t05549;eco_gcs1_t05550;eco_gcs1_t05553;eco_gcs1_t05554;eco_gcs1_t05551																	"
eco_gcs1_t09853	eco3612	atpD	b3732	16131600	"F0F1	ATP	synthase	subunit	beta	"	"eco_gcs1_t09853;eco_gcs1_t09852														"
eco_gcs1_t10411	eco3825	murI	b3967	90111671	"glutamate	racemase	"	"eco_gcs1_t10411;eco_gcs1_t10410;eco_gcs1_t10409;eco_gcs1_t10408																	"
eco_gcs1_t10951	eco4050	ytfA	b4205	16132027	"predicted	transcriptional	regulator	"	"eco_gcs1_t10951;eco_gcs1_t10952;eco_gcs1_t10950																"
eco_gcs1_t02359	eco0900	ycbQ	b0938	90111190	"predicted	fimbrial-like	adhesin	protein	"	"eco_gcs1_t02359;eco_gcs1_t02361;eco_gcs1_t02360;eco_gcs1_t02358															"
eco_gcs1_t02005	eco0777	ompX	b0814	16128782	"outer	membrane	protein	X	"	"eco_gcs1_t02005															"
eco_gcs1_t08608	eco3139	yhdH	b3253	16131141	"predicted	oxidoreductase,	Zn-dependent	and	NAD(P)-binding	"	"eco_gcs1_t08608;eco_gcs1_t08607														"
eco_gcs1_t04123	eco1495	ydfI	b1542	16129501	"predicted	mannonate	dehydrogenase	"	"eco_gcs1_t04123;eco_gcs1_t04124;eco_gcs1_t04125;eco_gcs1_t04126																"
eco_gcs1_t03943	eco1449	yddB	b1495	16129454	"predicted	porin	protein	"	"eco_gcs1_t03943;eco_gcs1_t03944;eco_gcs1_t03945;eco_gcs1_t03946;eco_gcs1_t03951;eco_gcs1_t03949;eco_gcs1_t03948;eco_gcs1_t03950;eco_gcs1_t03947																"
eco_gcs1_t03631	eco1355	paaJ	b1397	16129358	"acetyl-CoA	acetyltransferase	"	"eco_gcs1_t03631;eco_gcs1_t03632																	"
eco_gcs1_t11987	eco3042	yraR	b3152	90111547	"predicted	nucleoside-diphosphate-sugar	epimerase	"	"eco_gcs1_t11987;eco_gcs1_t11986																"
eco_gcs1_t02114	eco0821	ybjO	b0858	16128826	"predicted	inner	membrane	protein	"	"eco_gcs1_t02114;eco_gcs1_t02113															"
eco_gcs1_t09235	eco3394	yhjA	b3518	16131390	"predicted	cytochrome	C	peroxidase	"	"eco_gcs1_t09235;eco_gcs1_t09232;eco_gcs1_t09236;eco_gcs1_t09233;eco_gcs1_t09234															"
eco_gcs1_t02435	eco0921	yccR	b0959	16128926	"hypothetical	protein	"	"eco_gcs1_t02435;eco_gcs1_t02434;eco_gcs1_t02436;eco_gcs1_t02433																	"
eco_gcs1_t12338	eco4345	sraG	b4449	49175990	"unknown	RNA	"	"eco_gcs1_t12338																	"
eco_gcs1_t02863	eco1083	potA	b1126	16129089	"putrescine/spermidine	ABC	transporter	ATPase	protein	"	"eco_gcs1_t02863;eco_gcs1_t02861;eco_gcs1_t02864;eco_gcs1_t02862														"
eco_gcs1_t10608	eco3899	alr	b4053	16131879	"alanine	racemase	"	"eco_gcs1_t10608;eco_gcs1_t10609																	"
eco_gcs1_t01884	eco0725	ybhT	b0762	16128730	"hypothetical	protein	"	"eco_gcs1_t01884																	"
eco_gcs1_t03930	eco1447	gadB	b1493	16129452	"glutamate	decarboxylase	B,	PLP-dependent	"	"eco_gcs1_t03930;eco_gcs1_t03931;eco_gcs1_t03929;eco_gcs1_t03932															"
eco_gcs1_t09324	eco3422	eptB	b3546	90111611	"predicted	metal	dependent	hydrolase	"	"eco_gcs1_t09324;eco_gcs1_t09323;eco_gcs1_t09321;eco_gcs1_t09322;eco_gcs1_t09320															"
eco_gcs1_t08316	eco3029	agaC	b3139	16131031	"N-acetylgalactosamine-specific	enzyme	IIC	component	of	PTS	"	"eco_gcs1_t08316;eco_gcs1_t08317													"
eco_gcs1_t11835	eco2211	nuoF	b2284	16130219	"NADH:ubiquinone	oxidoreductase,	chain	F	"	"eco_gcs1_t11835;eco_gcs1_t11834;eco_gcs1_t11836;eco_gcs1_t11833;eco_gcs1_t11837															"
eco_gcs1_t06457	eco2310	ypdD	b2383	16130315	"fused	predicted	PTS	enzymes:	Hpr	component/enzyme	I	component/enzyme	IIA	component	"	"eco_gcs1_t06457;eco_gcs1_t06458;eco_gcs1_t06460;eco_gcs1_t06459									"
eco_gcs1_t05116	eco1848	otsA	b1896	16129848	"trehalose-6-phosphate	synthase	"	"eco_gcs1_t05116;eco_gcs1_t05114;eco_gcs1_t05117;eco_gcs1_t05113;eco_gcs1_t05115;eco_gcs1_t05112																	"
eco_gcs1_t07192	eco2594	ygaZ	b2682	16130594	"predicted	transporter	"	"eco_gcs1_t07192;eco_gcs1_t07191																	"
eco_gcs1_t10322	eco3791	hslV	b3932	16131770	"ATP-dependent	protease	peptidase	subunit	"	"eco_gcs1_t10322;eco_gcs1_t10323;eco_gcs1_t10321															"
eco_gcs1_t04327	eco1571	uidR	b1618	16129576	"DNA-binding	transcriptional	repressor	"	"eco_gcs1_t04327;eco_gcs1_t04326;eco_gcs1_t04325																"
eco_gcs1_t09495	eco3482	lldP	b3603	16131474	"L-lactate	permease	"	"eco_gcs1_t09495;eco_gcs1_t09496																	"
eco_gcs1_t01717	eco0667	kdpB	b0697	16128673	"potassium-transporting	ATPase	subunit	B	"	"eco_gcs1_t01717;eco_gcs1_t01718															"
eco_gcs1_t00574	eco0227	gpt	b0238	16128224	"xanthine	phosphoribosyltransferase	"	"eco_gcs1_t00574																	"
eco_gcs1_t00488	eco0195	metI	b0198	16128191	"DL-methionine	transporter	subunit	"	"eco_gcs1_t00488;eco_gcs1_t00489																"
eco_gcs1_t09794	eco3592	yieE	b3712	16131580	"predicted	phosphopantetheinyl	transferase	"	"eco_gcs1_t09794;eco_gcs1_t09795;eco_gcs1_t09793																"
eco_gcs1_t07940	eco2871	yghJ	b4466	49176293	"predicted	inner	membrane	lipoprotein	"	"eco_gcs1_t07940;eco_gcs1_t07943;eco_gcs1_t07937;eco_gcs1_t07939;eco_gcs1_t07941;eco_gcs1_t07935;eco_gcs1_t07942;eco_gcs1_t07944;eco_gcs1_t07945;eco_gcs1_t07938;eco_gcs1_t07936															"
eco_gcs1_t03526	eco1319	ydaW	b1361	90111258	"Rac	prophage;	predicted	DNA-binding	protein	"	"eco_gcs1_t03526;eco_gcs1_t03529;eco_gcs1_t03527;eco_gcs1_t03528														"
eco_gcs1_t07090	eco2550	ypjK	b2635	90111471	"CP4-57	prophage;	predicted	inner	membrane	protein	"	"eco_gcs1_t07090;eco_gcs1_t07089													"
eco_gcs1_t03825	eco1411	ydcD	b1457	16129416	"hypothetical	protein	"	"eco_gcs1_t03825;eco_gcs1_t03826																	"
eco_gcs1_t04095	eco1486	eamA	b1533	90111291	"cysteine	and	O-acetyl-L-serine	efflux	system	"	"eco_gcs1_t04095;eco_gcs1_t04091;eco_gcs1_t04094;eco_gcs1_t04092;eco_gcs1_t04090;eco_gcs1_t04093														"
eco_gcs1_t11187	eco4147	yjhP	b4306	16132127	"KpLE2	phage-like	element;	predicted	methyltransferase	"	"eco_gcs1_t11187														"
eco_gcs1_t04898	eco1771	yobD	b1820	16129774	"hypothetical	protein	"	"eco_gcs1_t04898;eco_gcs1_t04901;eco_gcs1_t04900;eco_gcs1_t04897;eco_gcs1_t04899																	"
eco_gcs1_t10785	eco3971	dcuS	b4125	16131951	"sensory	histidine	kinase	in	two-component	regulatory	system	with	DcuR,	regulator	of	anaerobic	fumarate	respiration	"	"eco_gcs1_t10785;eco_gcs1_t10786;eco_gcs1_t10784;eco_gcs1_t10783;eco_gcs1_t10782					"
eco_gcs1_t11801	eco2128	ccmB	b2200	16130137	"heme	exporter	subunit	"	"eco_gcs1_t11801;eco_gcs1_t11803;eco_gcs1_t11802																"
eco_gcs1_t11133	eco4121	yjhE	b4282	90111721	"KpLE2	phage-like	element;	predicted	membrane	protein	(pseudogene)	"	"eco_gcs1_t11133;eco_gcs1_t11132												"
eco_gcs1_t10501	eco3863	arpA	b4017	16131843	"regulator	of	acetyl	CoA	synthetase	"	"eco_gcs1_t10501;eco_gcs1_t10506;eco_gcs1_t10504;eco_gcs1_t10500;eco_gcs1_t10508;eco_gcs1_t10503;eco_gcs1_t10507;eco_gcs1_t10502;eco_gcs1_t10505														"
eco_gcs1_t12215	eco4226	lplA	b4386	16132203	"lipoate-protein	ligase	A	"	"eco_gcs1_t12215;eco_gcs1_t12216;eco_gcs1_t12213;eco_gcs1_t12214;eco_gcs1_t12217																"
eco_gcs1_t07127	eco2567	ygaQ	b2654	16130568	"hypothetical	protein	"	"eco_gcs1_t07127;eco_gcs1_t07126																	"
eco_gcs1_t11799	eco2127	ccmC	b2199	16130136	"heme	exporter	subunit	"	"eco_gcs1_t11799;eco_gcs1_t11800																"
eco_gcs1_t02150	eco0838	aqpZ	b0875	16128843	"aquaporin	Z	"	"eco_gcs1_t02150;eco_gcs1_t02151																	"
eco_gcs1_t09401	eco3447	xylR	b3569	16131440	"DNA-binding	transcriptional	activator,	xylose-binding	"	"eco_gcs1_t09401;eco_gcs1_t09400;eco_gcs1_t09399;eco_gcs1_t09397;eco_gcs1_t09396;eco_gcs1_t09398															"
eco_gcs1_t01329	eco0532	insH-2	b0552	16128535	"DLP12	prophage;	IS5	transposase	and	trans-activator	"	"eco_gcs1_t01329;eco_gcs1_t01328;eco_gcs1_t01327													"
eco_gcs1_t11272	eco4174	yjiJ	b4332	16132153	"predicted	inner	membrane	protein	"	"eco_gcs1_t11272;eco_gcs1_t11273															"
eco_gcs1_t01391	eco0551	cusS	b0570	16128553	"sensory	histidine	kinase	in	two-component	regulatory	system	with	CusR,	senses	copper	ions	"	"eco_gcs1_t01391;eco_gcs1_t01389;eco_gcs1_t01388;eco_gcs1_t01390;eco_gcs1_t01392							"
eco_gcs1_t01882	eco0723	modF	b0760	16128728	"fused	molybdate	transporter	subunits	of	ABC	superfamily:	ATP-binding	components	"	"eco_gcs1_t01882;eco_gcs1_t01880;eco_gcs1_t01881;eco_gcs1_t01879										"
eco_gcs1_t10666	eco3924	yjcO	b4078	16131904	"hypothetical	protein	"	"eco_gcs1_t10666;eco_gcs1_t10667																	"
eco_gcs1_t05215	eco1886	fliH	b1940	90111357	"flagellar	assembly	protein	H	"	"eco_gcs1_t05215															"
eco_gcs1_t07824	eco2824	mscS	b2924	16130825	"mechanosensitive	channel	"	"eco_gcs1_t07824;eco_gcs1_t07823																	"
eco_gcs1_t04244	eco1546	ynfK	b1593	90111304	"predicted	dethiobiotin	synthetase	"	"eco_gcs1_t04244;eco_gcs1_t04243																"
eco_gcs1_t00152	eco0070	setA	b0070	49175994	"broad	specificity	sugar	efflux	system	"	"eco_gcs1_t00152;eco_gcs1_t00151;eco_gcs1_t00149;eco_gcs1_t00150;eco_gcs1_t00153;eco_gcs1_t00148														"
eco_gcs1_t10032	eco3683	yigE	b4482	49176417	"hypothetical	protein	"	"eco_gcs1_t10032;eco_gcs1_t10036;eco_gcs1_t10033;eco_gcs1_t10034;eco_gcs1_t10035																	"
eco_gcs1_t10632	eco3910	yjcD	b4064	16131890	"predicted	permease	"	"eco_gcs1_t10632;eco_gcs1_t10633																	"
eco_gcs1_t09257	eco3401	yhjH	b3525	90111605	"EAL	domain	containing	protein	involved	in	flagellar	function	"	"eco_gcs1_t09257;eco_gcs1_t09258											"
eco_gcs1_t02518	eco0955	yccM	b0992	16128958	"predicted	4Fe-4S	membrane	protein	"	"eco_gcs1_t02518;eco_gcs1_t02519;eco_gcs1_t02520;eco_gcs1_t02517;eco_gcs1_t02521															"
eco_gcs1_t06972	eco2512	rluD	b2594	16130515	"23S	rRNA	pseudouridine	synthase	"	"eco_gcs1_t06972;eco_gcs1_t06973															"
eco_gcs1_t03536	eco1322	trkG	b1363	16129324	"Rac	prophage;	potassium	transporter	subunit	"	"eco_gcs1_t03536;eco_gcs1_t03533;eco_gcs1_t03531;eco_gcs1_t03534;eco_gcs1_t03535;eco_gcs1_t03532														"
